,,,,,,,,,,,,,,,,,,,,,
Player ID:,976684,,,,,,,,,,,,,,,,,,,,
Player Name:,Davis Feldman,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
No,Date,Pitch ID,Pitch Type,Is Strike,Strike Zone Side,Strike Zone Height,Velocity,Total Spin,True Spin (release),Spin Efficiency (release),Spin Direction,Spin Confidence,VB (spin),HB (spin),Horizontal Angle,Release Angle,Release Height,Release Side,Gyro Degree (deg),Unique ID,Device Serial Number
44,Tue Apr 19 2022 8:39:11 PM,1650400751,ChangeUp,N,21.03,31.81,81.17,1470.2,1382.8,94.1,1:26,0.8,12.1,11.2,-1.00,0.93,4.80,1.57,19.86,976684@1650400751,RBB21YIQQ31R
45,Tue Apr 19 2022 8:39:43 PM,1650400783,Fastball,Y,2.36,23.63,91.32,2365.8,2104.6,89,0:54,0.9,16.6,8.4,-2.26,-1.90,5.04,1.47,27.18,976684@1650400783,RBB21YIQQ31R
46,Tue Apr 19 2022 8:40:07 PM,1650400807,Slider,Y,4.99,19.13,81.26,2801.6,748.8,26.7,6:48,0.8,-5.6,-3.7,-0.76,-0.75,4.84,1.71,74.50,976684@1650400807,RBB21YIQQ31R
47,Tue Apr 19 2022 8:40:43 PM,1650400843,CurveBall,N,17.41,27.12,74.5,2468.9,1672.3,67.7,6:18,0.9,-15.6,-3.8,0.65,1.74,5.17,1.38,47.36,976684@1650400843,RBB21YIQQ31R
48,Tue Apr 19 2022 8:41:02 PM,1650400862,ChangeUp,N,7.38,13.61,82.55,1536.6,1297.2,84.4,1:38,0.9,10.0,11.2,-2.08,-1.07,4.85,1.64,32.41,976684@1650400862,RBB21YIQQ31R
49,Tue Apr 19 2022 8:41:21 PM,1650400881,Fastball,Y,4.90,36.25,91.66,2367.1,2126.5,89.8,0:56,0.9,16.4,8.9,-1.99,-0.51,4.98,1.36,26.06,976684@1650400881,RBB21YIQQ31R
50,Tue Apr 19 2022 8:42:14 PM,1650400934,Slider,Y,-1.34,34.80,80.87,2662.1,635.2,23.9,7:16,0.9,-4.2,-4.5,-1.30,1.85,4.63,1.69,76.20,976684@1650400934,RBB21YIQQ31R
51,Tue Apr 19 2022 8:54:24 PM,1650401664,ChangeUp,N,18.16,29.63,80.06,1429.1,1312.3,91.8,1:20,0.8,12.4,10.2,-1.38,0.84,4.83,1.58,23.33,976684@1650401664,RBB21YIQQ31R
52,Tue Apr 19 2022 8:54:48 PM,1650401688,Slider,Y,4.61,30.27,80.72,2846.2,976.7,34.3,7:22,0.9,-5.9,-6.5,-0.28,1.75,4.80,1.54,69.93,976684@1650401688,RBB21YIQQ31R
53,Tue Apr 19 2022 8:55:12 PM,1650401712,TwoSeamFastball,Y,5.33,36.42,90.77,2069.6,1840.5,88.9,0:56,0.8,15.6,8.3,-2.59,0.36,4.87,1.44,27.21,976684@1650401712,RBB21YIQQ31R
54,Tue Apr 19 2022 8:55:41 PM,1650401741,CurveBall,N,20.50,55.95,74,2416.1,1400.1,57.9,6:40,0.8,-12.3,-6.0,1.01,3.88,5.20,1.24,54.59,976684@1650401741,RBB21YIQQ31R
55,Tue Apr 19 2022 8:55:58 PM,1650401758,CurveBall,N,0.50,4.85,74.79,2509.6,1323.2,52.7,6:18,1,-12.2,-3.3,-0.98,-0.06,5.18,1.31,58.18,976684@1650401758,RBB21YIQQ31R
56,Tue Apr 19 2022 8:56:24 PM,1650401784,Fastball,N,13.67,43.44,90.89,2316.7,2083.7,89.9,0:56,0.9,16.6,8.6,-1.09,0.08,5.01,1.33,25.92,976684@1650401784,RBB21YIQQ31R
57,Tue Apr 19 2022 8:56:53 PM,1650401813,Slider,Y,8.23,31.97,81.62,2719.7,229.1,8.4,7:32,0.9,-1.3,-2.6,-0.73,1.71,4.65,1.79,85.17,976684@1650401813,RBB21YIQQ31R
58,Tue Apr 19 2022 8:57:22 PM,1650401842,Slider,N,-4.24,-3.68,79.72,2886,1485.2,51.5,7:6,0.9,-10.2,-8.1,-1.51,-1.33,4.71,1.84,59.03,976684@1650401842,RBB21YIQQ31R
59,Tue Apr 19 2022 8:57:43 PM,1650401863,ChangeUp,N,1.77,17.63,81.28,1949.8,1841.7,94.5,1:16,0.9,15.1,11.8,-2.76,-1.04,4.81,1.51,19.17,976684@1650401863,RBB21YIQQ31R
60,Tue Apr 19 2022 8:58:22 PM,1650401902,Fastball,Y,4.40,30.69,89.89,2411.6,2201.3,91.3,0:48,0.9,17.6,7.9,-1.60,-1.11,5.00,1.28,24.11,976684@1650401902,RBB21YIQQ31R
61,Tue Apr 19 2022 8:58:49 PM,1650401929,CurveBall,Y,9.75,20.06,70.79,2484.3,1473.9,59.3,6:50,1,-12.5,-7.3,0.15,2.07,4.97,1.16,53.61,976684@1650401929,RBB21YIQQ31R
62,Tue Apr 19 2022 8:59:43 PM,1650401983,Slider,Y,7.17,25.59,79.73,2804.5,1077.4,38.4,7:2,0.8,-7.8,-5.9,0.33,1.15,4.80,1.39,67.41,976684@1650401983,RBB21YIQQ31R
63,Tue Apr 19 2022 9:00:12 PM,1650402012,Fastball,N,10.53,42.43,90.61,2267.2,2030.3,89.6,0:54,0.8,16.4,8.3,-1.85,0.26,4.99,1.20,26.42,976684@1650402012,RBB21YIQQ31R
