,,,,,,,,,,,,,,,,,,,,,
Player ID:,700561,,,,,,,,,,,,,,,,,,,,
Player Name:,Austin Steinfort,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
No,Date,Pitch ID,Pitch Type,Is Strike,Strike Zone Side,Strike Zone Height,Velocity,Total Spin,True Spin (release),Spin Efficiency (release),Spin Direction,Spin Confidence,VB (spin),HB (spin),Horizontal Angle,Release Angle,Release Height,Release Side,Gyro Degree (deg),Unique ID,Device Serial Number
39,Tue Apr 19 2022 8:24:06 PM,1650399846,Fastball,N,19.15,41.68,92.87,2324.5,2266.2,97.5,0:44,0.9,18.7,7.6,-0.19,-2.37,6.08,1.33,12.86,700561@1650399846,RBB21YIQQ31R
40,Tue Apr 19 2022 8:24:21 PM,1650399861,Splitter,N,11.09,3.40,82.98,1053.1,1031.9,98,1:26,0.9,10.7,9.9,-1.10,-3.94,5.85,1.31,-11.52,700561@1650399861,RBB21YIQQ31R
41,Tue Apr 19 2022 8:24:36 PM,1650399876,Fastball,Y,6.27,27.25,91.45,2336.7,2291.5,98.1,0:44,0.8,19.2,7.7,-1.64,-4.00,6.04,1.16,11.29,700561@1650399876,RBB21YIQQ31R
42,Tue Apr 19 2022 8:24:51 PM,1650399891,CurveBall,N,-4.73,14.88,71.6,2303.2,2123.4,92.2,6:22,0.9,-20.8,-5.0,-1.21,1.13,5.96,0.87,22.79,700561@1650399891,RBB21YIQQ31R
43,Tue Apr 19 2022 8:25:07 PM,1650399907,Cutter,N,7.33,47.10,85.58,2424.5,731,30.1,11:42,0.9,6.6,-1.6,-0.50,0.24,5.89,1.31,72.45,700561@1650399907,RBB21YIQQ31R
44,Tue Apr 19 2022 8:25:27 PM,1650399927,Fastball,N,13.62,18.40,92.19,2370.2,2347,99,0:38,0.9,19.8,7.0,-0.76,-3.75,6.00,1.14,8.03,700561@1650399927,RBB21YIQQ31R
45,Tue Apr 19 2022 8:26:04 PM,1650399964,CurveBall,Y,5.68,23.28,70.68,2302.5,1987,86.3,6:18,0.9,-19.7,-4.3,0.17,1.80,5.79,0.91,30.35,700561@1650399964,RBB21YIQQ31R
46,Tue Apr 19 2022 8:26:21 PM,1650399981,Fastball,Y,7.28,20.30,91.7,2340.7,2281.7,97.5,1:0,0.9,17.7,10.3,-1.51,-3.31,5.97,1.27,12.89,700561@1650399981,RBB21YIQQ31R
47,Tue Apr 19 2022 8:26:39 PM,1650399999,Cutter,N,14.55,54.04,85.56,2410.8,892.9,37,0:12,0.9,8.0,0.4,-0.32,0.94,5.82,1.23,68.26,700561@1650399999,RBB21YIQQ31R
48,Tue Apr 19 2022 8:27:20 PM,1650400040,Splitter,N,18.19,12.33,81.46,801.2,798.2,99.6,1:50,0.9,7.0,10.2,-0.71,-2.78,5.84,1.38,4.95,700561@1650400040,RBB21YIQQ31R
49,Tue Apr 19 2022 8:27:40 PM,1650400060,CurveBall,N,21.02,38.32,70.53,2279.4,2173.8,95.4,6:14,0.9,-21.7,-3.3,1.48,3.36,5.99,0.84,17.51,700561@1650400060,RBB21YIQQ31R
50,Tue Apr 19 2022 8:28:18 PM,1650400098,Cutter,N,-3.81,14.56,83.56,2407,814.6,33.8,0:46,0.8,7.0,2.3,-1.39,-2.51,5.79,1.35,70.22,700561@1650400098,RBB21YIQQ31R
51,Tue Apr 19 2022 8:28:34 PM,1650400114,Fastball,N,20.62,27.25,91.73,2391.2,2156.9,90.2,9:32,0.6,5.6,-18.5,-0.26,-3.03,5.99,1.28,25.58,700561@1650400114,RBB21YIQQ31R
52,Tue Apr 19 2022 8:28:53 PM,1650400133,Fastball,N,15.96,42.60,89.67,2324.7,2104,90.5,0:50,0.9,17.2,7.9,-0.34,-1.28,5.94,1.21,25.17,700561@1650400133,RBB21YIQQ31R
53,Tue Apr 19 2022 8:29:37 PM,1650400177,CurveBall,N,-5.47,11.38,69.72,2255.1,1868.5,82.9,6:26,0.9,-18.7,-5.4,-0.91,0.86,5.91,1.00,34.05,700561@1650400177,RBB21YIQQ31R
54,Tue Apr 19 2022 8:30:04 PM,1650400204,Fastball,Y,1.95,32.24,89.74,2201,2072.1,94.1,1:8,0.9,15.8,10.9,-1.76,-2.42,5.95,1.16,19.71,700561@1650400204,RBB21YIQQ31R
55,Tue Apr 19 2022 8:43:52 PM,1650401032,Cutter,Y,3.98,22.77,86.65,2192.2,2155.2,98.3,1:6,0.8,17.3,11.2,-2.35,-4.00,6.13,1.67,10.54,700561@1650401032,RBB21YIQQ31R
56,Tue Apr 19 2022 8:44:02 PM,1650401042,Fastball,Y,4.37,36.07,88.31,1837.6,1785.1,97.1,0:56,0.8,16.5,8.6,-1.88,-2.91,6.26,1.28,13.74,700561@1650401042,RBB21YIQQ31R
57,Tue Apr 19 2022 8:44:10 PM,1650401050,Cutter,N,1.50,42.71,86.05,2010,1995.2,99.3,1:4,0.8,16.9,10.8,-1.85,-2.17,6.19,1.23,6.94,700561@1650401050,RBB21YIQQ31R
58,Tue Apr 19 2022 8:45:05 PM,1650401105,Fastball,N,25.60,32.75,94.09,2239.7,2211.4,98.7,1:4,0.9,16.9,10.7,-0.47,-2.84,6.03,1.34,9.11,700561@1650401105,RBB21YIQQ31R
