,last_name_x,last_name_y, first_name_x,player_id,pitch_hand,pitch_type,pitch_name_x,pitch_name_y,pitches,n_pitches,pitch_usage,release_speed,spin_rate,movement_inches,spin_eff%,alan_active_spin_pct,active_spin,hawkeye_measured,movement_inferred,diff_measured_inferred,diff2,run_value_per_100,run_value,pa,ba,slg,woba,whiff_percent,k_percent,put_away,est_ba,est_slg,est_woba,hard_hit_percent,diff_measured_inferred_minutes,hawkeye_measured_clock_hh,hawkeye_measured_clock_mm,movement_inferred_clock_hh,movement_inferred_clock_mm,diff_clock_hh,diff_clock_mm,hawkeye_measured_clock_label,movement_inferred_clock_label,diff_clock_label,team_name_alt,bauer_units
506,Megill,Megill, Tylor,656731,R,FF,4-Seamer,4-Seam Fastball,895,894,57.6,94.6,2154,18.5,96,0.897968194831518,0.9649410279336234,142.97547492757124,147.69521509608762,-4.719740168516381,4.719740168516371,-0.1,-1,198,0.261,0.494,0.357,21.5,26.8,19.3,0.231,0.44,0.329,47.2,15,1,15,1,0,0,15,1:15,1:00,+0H 15M,NYM,22.76955602536998
507,Megill,Megill, Tylor,656731,R,CH,Changeup,Changeup,325,325,20.9,85.4,1496,15.8,98,0.8756086787595618,0.9815392517621628,129.21778363722268,117.9716744215366,11.24610921568609,11.24610921568608,0.9,3,91,0.256,0.512,0.349,31.9,20.9,19.4,0.229,0.433,0.314,41.5,-15,1,45,2,0,0,15,1:45,2:00,-0H 15M,NYM,17.517564402810304
508,Mejía,Mejía, J.C.,650496,R,SL,Slider,Slider,233,233,23.7,82.7,2518,10.4,45,0.4479054245692738,0.449294130935791,270.1318761648537,260.62972128878425,9.502154876069426,9.502154876069422,0.0,0,57,0.128,0.319,0.275,41.7,43.9,23.8,0.138,0.283,0.268,18.2,-15,9,0,9,15,0,15,9:00,9:15,-0H 15M,CLE,30.44740024183797
509,Melancon,Melancon, Mark,453343,R,FC,Cutter,Cutter,660,648,62.7,92.0,2259,10.0,63,0.4655204396134667,0.6265724221421619,174.4572900872258,187.38594492118267,-12.92865483395687,12.92865483395686,-0.9,-6,160,0.25,0.379,0.334,14.8,15.6,14.7,0.282,0.43,0.355,37.9,30,12,15,11,45,0,30,12:15,11:45,+0H 30M,SD,24.554347826086957
510,Middleton,Middleton, Keynan,641871,R,FF,4-Seamer,4-Seam Fastball,306,299,57.7,95.4,2385,18.8,90,0.8709030290863113,0.8956401425750528,147.29599308220784,155.40392623008245,-8.107933147874604,8.107933147874618,1.2,4,62,0.298,0.404,0.402,31.8,19.4,16.2,0.262,0.472,0.404,37.1,15,1,0,12,45,0,15,1:00,12:45,+0H 15M,SEA,25.0
511,Miley,Miley, Wade,489119,L,FF,4-Seamer,4-Seam Fastball,423,421,16.3,89.9,2241,16.2,86,0.7709403485438595,0.857758199043276,200.74913093944065,189.9002221581993,10.848908781241306,10.848908781241322,-0.8,-4,151,0.252,0.345,0.295,17.5,25.8,17.1,0.235,0.39,0.3,40.0,-30,11,15,11,45,0,30,11:15,11:45,-0H 30M,CIN,24.92769744160178
512,Miley,Miley, Wade,489119,L,CH,Changeup,Changeup,709,676,27.4,81.9,1802,16.4,86,0.821582707231323,0.8621382172682208,225.8114823138521,251.12688229903108,-25.315399985178946,25.31539998517897,-0.9,-6,205,0.253,0.339,0.311,34.0,18.0,21.3,0.243,0.339,0.292,28.5,45,10,30,9,45,0,45,10:30,9:45,+0H 45M,CIN,22.002442002442002
513,Miley,Miley, Wade,489119,L,FC,Cutter,Cutter,1207,1195,46.6,85.4,2276,7.3,46,0.3367056074531049,0.4607597056843022,175.82682326699455,143.48056017804376,32.34626308895079,32.346263088950806,-0.3,-3,292,0.279,0.483,0.356,18.6,13.0,19.1,0.269,0.438,0.329,35.3,-60,12,15,1,15,1,0,12:15,1:15,-1H 00M,CIN,26.651053864168617
514,Miller,Miller, Andrew,453192,L,SL,Slider,Slider,401,398,64.7,78.1,2474,14.3,65,0.6082164349195177,0.6513724200630016,83.53608599964332,84.76192827596522,-1.2258422763218988,1.225842276321892,1.2,5,110,0.29,0.452,0.368,32.6,31.8,30.2,0.231,0.364,0.319,31.7,0,3,15,3,15,0,0,3:15,3:15, 0H 00M,STL,31.677336747759284
515,Mills,Mills, Alec,621219,R,FF,4-Seamer,4-Seam Fastball,333,328,17.2,88.7,2170,16.4,88,0.7820979865765977,0.8792876443355235,134.7127434285938,143.7810717853302,-9.0683283567364,9.068328356736403,1.7,6,89,0.321,0.654,0.44,10.9,9.0,10.0,0.313,0.592,0.414,44.4,15,1,30,1,15,0,15,1:30,1:15,+0H 15M,CHC,24.464487034949265
