last_name, first_name,player_id,team_name_alt,pitch_type,pitch_name,run_value_per_100,run_value,pitches,pitch_usage,pa,ba,slg,woba,whiff_percent,k_percent,put_away,est_ba,est_slg,est_woba,hard_hit_percent
Rogers, Tyler,643511,SF,FF,4-Seamer,-0.6,-4,599,53.1,171,0.342,0.422,0.372,11.4,6.4,12.6,0.305,0.377,0.324,40
Plesac, Zach,668676,CLE,CH,Changeup,-0.9,-5,540,24.5,170,0.241,0.405,0.307,21.1,11.8,11.9,0.258,0.445,0.322,41
Hernández, Carlos,672578,KC,FF,4-Seamer,-0.6,-4,696,48.5,170,0.232,0.406,0.348,21.6,18.2,17.5,0.245,0.414,0.36,43.5
Alcantara, Sandy,645261,MIA,FF,4-Seamer,0.6,4,668,21.6,170,0.234,0.399,0.309,23.3,25.9,17.1,0.24,0.417,0.305,44.3
Karinchak, James,675916,CLE,FF,4-Seamer,-0.2,-1,696,67.4,170,0.194,0.403,0.321,28.2,27.6,22.1,0.205,0.39,0.333,43.6
Williams, Devin,642207,MIL,CH,Changeup,-2.3,-15,634,63.8,170,0.161,0.232,0.225,47.2,41.2,32.6,0.157,0.223,0.209,24.4
Morgan, Eli,669212,CLE,FF,4-Seamer,0,0,687,48.6,169,0.283,0.52,0.37,18.6,18.9,17.7,0.251,0.455,0.333,45.1
Gallegos, Giovanny,606149,STL,FF,4-Seamer,-1.7,-11,653,52.8,168,0.201,0.315,0.264,25.2,28.6,22.2,0.223,0.363,0.291,46.2
Anderson, Tyler,542881,SEA,CH,Changeup,0.6,4,641,24.6,168,0.25,0.487,0.326,28.7,14.3,12.4,0.251,0.424,0.298,30.7
Steckenrider, Drew,608716,SEA,FF,4-Seamer,-1.8,-12,664,65.9,168,0.216,0.346,0.275,18.6,19,17.7,0.238,0.381,0.296,37.4
Kikuchi, Yusei,579328,SEA,FF,4-Seamer,-0.1,-1,912,35.6,168,0.209,0.419,0.316,30.3,33.3,21.4,0.257,0.498,0.362,51.1
Musgrove, Joe,605397,SD,CUKC,Curveball,-2.5,-17,699,23.8,168,0.126,0.199,0.191,35.9,37.5,28,0.173,0.253,0.226,40.7
Greinke, Zack,425844,HOU,CH,Changeup,-0.9,-5,573,22.2,168,0.205,0.263,0.23,27.6,21.4,17.1,0.206,0.271,0.237,30.1
Stephan, Trevor,663986,CLE,FF,4-Seamer,-0.5,-3,723,59.8,167,0.274,0.493,0.385,25.1,20.4,15.5,0.294,0.557,0.402,48.7
