year,last_name, first_name,player_id,pitch_hand,api_pitch_type,n_pitches,release_speed,spin_rate,movement_inches,alan_active_spin_pct,active_spin,hawkeye_measured,movement_inferred,api_pitch_name,active_spin_formatted,hawkeye_measured_clock_minutes,movement_inferred_clock_minutes,diff_measured_inferred,diff2,diff_measured_inferred_minutes,hawkeye_measured_clock_hh,hawkeye_measured_clock_mm,movement_inferred_clock_hh,movement_inferred_clock_mm,diff_clock_hh,diff_clock_mm,hawkeye_measured_clock_label,movement_inferred_clock_label,diff_clock_label
,Urías, Julio,628711,L,CU,931,81.4,2887,17,0.6950709354161135,0.4864486110260432,57.220236708983734,80.49817709290808,Curveball,49,240,195,-23.277940383924346,23.27794038392435,45,4,0,3,15,0,45,4:00,3:15,+0H 45M
,Allard, Kolby,663465,L,CU,227,75.9,1896,12.8,0.5928634939588645,0.7461221563797656,32.07392439158798,21.471024234718442,Curveball,75,300,315,10.602900156869538,10.602900156869538,-15,5,0,5,15,0,15,5:00,5:15,-0H 15M
,Scherzer, Max,453286,R,CU,275,76.9,2661,17.5,0.7226039927831056,0.6727766026191675,297.87249643996836,306.67104161403864,Curveball,67,480,465,-8.798545174070284,8.798545174070263,15,8,0,7,45,0,15,8:00,7:45,+0H 15M
,Keller, Mitch,656605,R,CU,269,78.6,2618,20.2,0.8422426228614683,0.8982482004100047,332.6157620805918,330.21018832808943,Curveball,90,420,420,2.4055737525023915,2.40557375250237,0,7,0,7,0,0,0,7:00,7:00, 0H 00M
,Pivetta, Nick,601713,R,CU,644,78.6,2740,23.5,0.9495434085572501,0.9426519780257482,341.14670555446463,339.0207848780449,Curveball,94,405,405,2.125920676419753,2.125920676419779,0,6,45,6,45,0,0,6:45,6:45, 0H 00M
,Espino, Paolo,502179,R,CU,400,71.1,2987,26.6,1.0265851412757154,0.9836273322590433,329.15253069561106,329.252582426353,Curveball,98,420,420,-0.10005173074193863,0.10005173074196963,0,7,0,7,0,0,0,7:00,7:00, 0H 00M
,Pressly, Ryan,519151,R,CU,233,82,3224,22.3,0.8661245734331594,0.7285310123344385,333.47426120296484,317.0377994810276,Curveball,73,420,450,16.436461721937235,16.43646172193723,-30,7,0,7,30,0,30,7:00,7:30,-0H 30M
,Barlow, Scott,605130,R,CU,246,79.3,2479,19.8,0.8435234267851657,0.8418701209894567,306.96205199511746,311.4371079313719,Curveball,84,465,450,-4.475055936254421,4.475055936254373,15,7,45,7,30,0,15,7:45,7:30,+0H 15M
,Bieber, Shane,669456,R,CU,479,83.1,2383,18,0.7816762744200341,0.838372360554223,329.26996592128046,329.78344673052015,Curveball,84,420,420,-0.5134808092396952,0.5134808092397143,0,7,0,7,0,0,0,7:00,7:00, 0H 00M
,Duffey, Tyler,608648,R,CU,493,83.1,2481,13.3,0.5766028454688128,0.5896159363695664,318.65407142425806,339.519687262543,Curveball,59,450,405,-20.865615838284953,20.865615838284967,45,7,30,6,45,0,45,7:30,6:45,+0H 45M
,Greinke, Zack,425844,R,CU,418,71.2,2364,18.3,0.7505571257937763,0.7601085363781938,309.6957234609245,318.7702017808209,Curveball,76,465,435,-9.0744783198964,9.07447831989642,30,7,45,7,15,0,30,7:45,7:15,+0H 30M
,Wheeler, Zack,554430,R,CU,342,81.5,2638,17.4,0.7307360032947713,0.6758107910720155,313.8684618811611,323.85645026033643,Curveball,68,450,435,-9.987988379175306,9.987988379175318,15,7,30,7,15,0,15,7:30,7:15,+0H 15M
,Houser, Adrian,605288,R,CU,338,80,1855,16.7,0.8108705035381865,0.9463511405691231,341.3014269782526,339.36242988717544,Curveball,95,390,405,1.9389970910771694,1.9389970910771526,-15,6,30,6,45,0,15,6:30,6:45,-0H 15M
,Heaney, Andrew,571760,L,CU,505,79.4,2571,9.4,0.39257930215565406,0.42104645131203444,41.990166788542325,52.804992138894406,Curveball,42,270,255,-10.81482535035208,10.814825350352086,15,4,30,4,15,0,15,4:30,4:15,+0H 15M
,Gomber, Austin,596295,L,CU,285,75.7,2511,20.5,0.8893320215273226,0.9363450797291231,13.062089641599243,16.168453781504326,Curveball,94,330,330,-3.1063641399050823,3.10636413990508,0,5,30,5,30,0,0,5:30,5:30, 0H 00M
,Paddack, Chris,663978,R,CU,230,78.7,2185,21.1,0.9332644309486828,0.9690068036116279,341.20190905558,341.43874577398776,Curveball,97,405,390,-0.23683671840774423,0.23683671840770515,15,6,45,6,30,0,15,6:45,6:30,+0H 15M
,Burnes, Corbin,669203,R,CU,464,81.2,2871,15.7,0.6509269540955225,0.6772036531348237,312.42015329081164,310.1537244063014,Curveball,68,450,465,2.266428884510219,2.2664288845102076,-15,7,30,7,45,0,15,7:30,7:45,-0H 15M
,Kimbrel, Craig,518886,R,CU,400,86.1,2558,13.5,0.5881634979000615,0.6235227496546188,300.95845528829193,304.60855681400676,Curveball,62,480,465,-3.650101525714831,3.6501015257148444,15,8,0,7,45,0,15,8:00,7:45,+0H 15M
,Stammen, Craig,489334,R,CU,382,80.3,2351,16.1,0.6990847655788921,0.7230695361064917,318.42213113347714,328.26653137767323,Curveball,72,450,420,-9.844400244196095,9.844400244196105,30,7,30,7,0,0,30,7:30,7:00,+0H 30M
,Holland, Derek,502706,L,CU,280,81.4,2091,4.2,0.19503869077261207,0.17986398816843338,191.18487490790451,181.89127295878833,Curveball,18,705,720,9.29360194911618,9.29360194911619,-15,11,45,12,0,0,15,11:45,12:00,-0H 15M
