,player_name,p_throws,pitch_type,FF_count,SI_count,FC_count,velo,pfx_x,pfx_z,arm_angle,release_extension,RV,RV/100,xRV,xRV/100,CU_count,SL_count,KC_count,CH_count,FS_count
82,"Bender, Anthony",R,FF,12.0,0.0,0.0,96.8,15.52,2.75,25.78,5.88,-1.768,-14.73,-1.099,-9.16,0.0,0.0,0.0,0.0,0.0
83,"Bender, Anthony",R,SI,0.0,504.0,0.0,96.8,15.52,2.75,25.78,5.88,20.747,4.12,22.109,4.39,0.0,0.0,0.0,0.0,0.0
84,"Berríos, José",R,FF,805.0,0.0,0.0,93.9,13.23,12.83,47.89,6.44,30.582,3.7999999999999994,36.434,4.53,0.0,0.0,0.0,0.0,0.0
85,"Berríos, José",R,SI,0.0,896.0,0.0,93.9,13.23,12.83,47.89,6.44,42.454,4.74,48.461,5.41,0.0,0.0,0.0,0.0,0.0
86,"Betances, Dellin",R,FF,12.0,0.0,0.0,91.8,5.41,16.04,28.7,6.66,1.6160000000000003,13.47,0.887,7.39,0.0,0.0,0.0,0.0,0.0
87,"Bettinger, Alec",R,FC,0.0,0.0,19.0,91.0,2.23,17.03,29.59,6.57,0.39999999999999997,2.11,0.473,2.49,0.0,0.0,0.0,0.0,0.0
88,"Bettinger, Alec",R,FF,127.0,0.0,0.0,91.0,2.23,17.03,29.59,6.57,3.544,2.79,5.293,4.17,0.0,0.0,0.0,0.0,0.0
89,"Biagini, Joe",R,FF,9.0,0.0,0.0,92.7,6.49,16.85,22.6,6.12,-0.13999999999999999,-1.56,0.40700000000000003,4.52,0.0,0.0,0.0,0.0,0.0
90,"Biagini, Joe",R,SI,0.0,9.0,0.0,92.7,6.49,16.85,22.6,6.12,1.161,12.9,0.6849999999999999,7.610000000000001,0.0,0.0,0.0,0.0,0.0
91,"Bickford, Phil",R,FF,498.0,0.0,0.0,93.9,4.01,16.59,43.72,6.87,10.866,2.18,15.55,3.12,0.0,0.0,0.0,0.0,0.0
92,"Bickford, Phil",R,SI,0.0,1.0,0.0,93.9,4.01,16.59,43.72,6.87,-0.004,-0.4,0.048,4.8,0.0,0.0,0.0,0.0,0.0
93,"Bieber, Shane",R,FC,0.0,0.0,49.0,92.4,8.8,17.87,24.66,6.61,3.326,6.79,1.597,3.26,0.0,0.0,0.0,0.0,0.0
94,"Bieber, Shane",R,FF,549.0,0.0,0.0,92.4,8.8,17.87,24.66,6.61,22.601,4.12,30.343999999999998,5.53,0.0,0.0,0.0,0.0,0.0
95,"Bielak, Brandon",R,FC,0.0,0.0,44.0,93.5,6.72,13.49,32.69,5.58,2.216,5.04,3.748,8.52,0.0,0.0,0.0,0.0,0.0
96,"Bielak, Brandon",R,FF,335.0,0.0,0.0,93.5,6.72,13.49,32.69,5.58,11.126000000000001,3.32,17.736,5.29,0.0,0.0,0.0,0.0,0.0
97,"Bielak, Brandon",R,SI,0.0,132.0,0.0,93.5,6.72,13.49,32.69,5.58,8.873,6.72,8.621,6.53,0.0,0.0,0.0,0.0,0.0
98,"Blackburn, Paul",R,FC,0.0,0.0,174.0,89.6,5.6,9.35,18.24,6.22,10.569,6.07,7.718999999999999,4.44,0.0,0.0,0.0,0.0,0.0
99,"Blackburn, Paul",R,FF,43.0,0.0,0.0,89.6,5.6,9.35,18.24,6.22,-0.39200000000000035,-0.91,0.872,2.03,0.0,0.0,0.0,0.0,0.0
100,"Blackburn, Paul",R,SI,0.0,287.0,0.0,89.6,5.6,9.35,18.24,6.22,21.503,7.49,17.825,6.21,0.0,0.0,0.0,0.0,0.0
101,"Blewett, Scott",R,FF,45.0,0.0,0.0,91.3,3.64,13.65,19.79,6.92,1.8060000000000003,4.01,0.5509999999999999,1.22,0.0,0.0,0.0,0.0,0.0
102,"Blewett, Scott",R,SI,0.0,18.0,0.0,91.3,3.64,13.65,19.79,6.92,0.5670000000000003,3.15,1.397,7.76,0.0,0.0,0.0,0.0,0.0
103,"Bolaños, Ronald",R,FF,20.0,0.0,0.0,94.9,11.74,12.0,33.57,6.57,0.639,3.2,0.794,3.97,0.0,0.0,0.0,0.0,0.0
104,"Bolaños, Ronald",R,SI,0.0,37.0,0.0,94.9,11.74,12.0,33.57,6.57,0.37199999999999994,1.01,1.4109999999999998,3.8100000000000005,0.0,0.0,0.0,0.0,0.0
105,"Bostick, Akeem",R,FF,5.0,0.0,0.0,90.7,7.8,17.11,29.4,6.56,0.018000000000000002,0.36,0.29000000000000004,5.8,0.0,0.0,0.0,0.0,0.0
106,"Boxberger, Brad",R,FF,570.0,0.0,0.0,93.5,6.06,17.09,30.3,5.62,4.808000000000001,0.84,24.717,4.34,0.0,0.0,0.0,0.0,0.0
107,"Brach, Brad",R,FF,274.0,0.0,0.0,93.6,9.26,14.45,48.51,6.05,7.592,2.77,13.907,5.08,0.0,0.0,0.0,0.0,0.0
108,"Brach, Brad",R,SI,0.0,22.0,0.0,93.6,9.26,14.45,48.51,6.05,2.2550000000000003,10.25,2.3729999999999998,10.79,0.0,0.0,0.0,0.0,0.0
109,"Bradley, Archie",R,FF,431.0,0.0,0.0,94.0,10.23,15.38,34.6,6.61,11.889,2.76,16.025,3.72,0.0,0.0,0.0,0.0,0.0
